location,species
N-dutertrei/cf1deaed42ba46c387546fc8cf51d0d7.tif,N-dutertrei
G-ungulata/59dbd3c251e94cccbe314577cff1095e.tif,G-ungulata
G-sacculifer/8dc6639ed0e1413b848d4144771ca1d1.tif,G-sacculifer
G-ruber/930154b3978a43a4b67034b5be7ef599.tif,G-ruber
S-dehiscen/113158d058004cadb6407163a8e16a4d.tif,S-dehiscen
G-elongatus/503d90cf1c804aa0a351e56ae60f5ea4.tif,G-elongatus
G-ruber/152785faf3aa4c7eaaa87e431df649ba.tif,G-ruber
P-obliquiloculata/b4a84bd4c5d041dc9dc88b3963c3637a.tif,P-obliquiloculata
G-scitula/165f536bc3a343cc9ae2dd77bf659ef5.tif,G-scitula
G-hexagonus/8026eba66a074ca3a1a32586b3c6e2d4.tif,G-hexagonus
G-ruber/24cea090cef14eac89f4a0e756752117.tif,G-ruber
G-ruber/93986289bd1349fcb4f6558033a000c5.tif,G-ruber
S-dehiscen/3bd62e8511dc45b8a72412e777ac2a2b.tif,S-dehiscen
G-sacculifer/81d391b9ee194be7ad2401367c9efebb.tif,G-sacculifer
G-tumida/faaf28c88c734b818751d811039da546.tif,G-tumida
G-ungulata/7a98cc5c2fd348f18d14a9698408238f.tif,G-ungulata
G-truncatulinoides/982b465bbfa3453e829000b15b6cf93a.tif,G-truncatulinoides
N-dutertrei/f04f85bca8984a77afa5cd745b85da13.tif,N-dutertrei
N-dutertrei/57133f7021a645cbbc16006b02dda42c.tif,N-dutertrei
G-tumida/e1ea80887d1e4f93977189ba867a4399.tif,G-tumida
N-humerosa/1156aa25d3fd4abe91967da634dcccbe.tif,N-humerosa
G-ungulata/832d8b38f34d4beb900c02effacbf993.tif,G-ungulata
N-acostaensis/3d8826fb9e2b4bbb82a231740161b286.tif,N-acostaensis
G-siphonifera/b89ed2b2f55e4cd79097bf7ecb601299.tif,G-siphonifera
P-obliquiloculata/2efce792b40b40cdb698f249f24e7ea2.tif,P-obliquiloculata
O-universa/10f72ba806e0456aa25b55f979402ad5.tif,O-universa
G-tumida/f6df919250ff4f6a87c79ad1865bc3ba.tif,G-tumida
N-acostaensis/90803c4ccd2d4b069ed72386b31f6742.tif,N-acostaensis
G-scitula/ee11773d35334b9fbcda837e8d52bc26.tif,G-scitula
G-scitula/d5e4f6c65a2f470189cbf1bcae187484.tif,G-scitula
G-sacculifer/6554476cdc194a78b73db0a34fc85b62.tif,G-sacculifer
N-acostaensis/379e30a658bc4fe3a2d57a3e67fb3a69.tif,N-acostaensis
G-tumida/e360c8adccc84d9eb61376b0c621e82a.tif,G-tumida
N-humerosa/4d9e2f564d1541c9b6c364c50dbc7612.tif,N-humerosa
O-universa/0ca91297b3e24d33aecd75bbcfb4228c.tif,O-universa
G-sacculifer/f7b69408218147b5ac06303df040900c.tif,G-sacculifer
G-ruber/5f2f9865de1949f189d49ade4c776337.tif,G-ruber
P-obliquiloculata/e106cc8d144343cba81771fa2b250da6.tif,P-obliquiloculata
G-ruber/0c2434995cae47c392a409114d017e7f.tif,G-ruber
G-tumida/77750722578548388832e71955014385.tif,G-tumida
N-humerosa/0235975843e24d33833f8d59f2c47d1a.tif,N-humerosa
G-elongatus/a1d7b2a53d84461aa42d0ae4f2647462.tif,G-elongatus
G-ruber/b8fe4812bd9342f9bf9e32fe5194968e.tif,G-ruber
G-crassaformis/0a9250381e3c4b55a04f8fe551638e96.tif,G-crassaformis
G-truncatulinoides/b581f734d97e4f8680db4ac8991b3d74.tif,G-truncatulinoides
G-siphonifera/3682bad7e52942dd91f264a97a247052.tif,G-siphonifera
G-ruber/7fdb6816e0ef417c95f34e873ef3eece.tif,G-ruber
N-acostaensis/25566ffced5c4b3f961f55deb12e1679.tif,N-acostaensis
G-ungulata/fabb59d6ec2144feae0bfa3dad2bd1b5.tif,G-ungulata
S-dehiscen/0b30b00ab0d744889a37304805db4fac.tif,S-dehiscen
G-ruber/3c8d0b46b5f34f14b3c7a988c2e5e606.tif,G-ruber
P-obliquiloculata/74c8d5952b2f414f9b634a5bd557669e.tif,P-obliquiloculata
N-humerosa/588b8736b194435598ca87aa99f4053c.tif,N-humerosa
S-dehiscen/0fe549d0bcd8474ca612520f1bda33df.tif,S-dehiscen
G-sacculifer/38fa007eeb1f424a8224771dd4f57b95.tif,G-sacculifer
P-obliquiloculata/27289781213245a39c2c0b8a400fc90d.tif,P-obliquiloculata
G-elongatus/6a4f894ac723428b8a42b0fbc80a0d19.tif,G-elongatus
P-obliquiloculata/7ef8d22d8298447fa376f632fa24445c.tif,P-obliquiloculata
S-dehiscen/196b6bfc0bc04adcb53f01eb3d6038ed.tif,S-dehiscen
G-sacculifer/5b71522c11754c9f8ec125ed8bfb255d.tif,G-sacculifer
G-ruber/1073acf2ac53419ca2228d5e92fbe416.tif,G-ruber
G-scitula/a3b5ad9b3cbc40cbb36ae7d4797162bd.tif,G-scitula
P-obliquiloculata/4df42028ee7c47a482dd8dbfff268c24.tif,P-obliquiloculata
G-sacculifer/a85d58b52845456797bd9d0415a3c847.tif,G-sacculifer
G-tumida/d50f922ca9ec46e9abc5c46c97f3119f.tif,G-tumida
G-sacculifer/1a32a57dfe424b51b4fbdf4de6c93de3.tif,G-sacculifer
G-tumida/62ebe56bdeec4c95a8d4c7315e42ff5f.tif,G-tumida
G-scitula/b2f98a1722df4eef8c6db04d3aca024c.tif,G-scitula
G-hexagonus/f82fd206d9914bc390fe4b29cb3861e6.tif,G-hexagonus
S-dehiscen/93480399e4e14a8c851e95331d0398b1.tif,S-dehiscen
N-humerosa/9ab5bdef863b4e7f8362e4925fe4d2a9.tif,N-humerosa
G-elongatus/d636f5a6eac647f7a614b9b80b67e109.tif,G-elongatus
G-scitula/bcfd446862b84ba7b1e06d32ce8f6c76.tif,G-scitula
G-ruber/98392f724aa748b299081fd6f75faa1f.tif,G-ruber
O-universa/63e9135512e54a26a8a4bed5e00205c8.tif,O-universa
N-humerosa/014170c0c60847398e42bcecb92a18b6.tif,N-humerosa
N-humerosa/57d34e685e614ee0a137d4ce5b06b273.tif,N-humerosa
G-truncatulinoides/5118cfafb3d14988ab7299281e35720c.tif,G-truncatulinoides
G-siphonifera/0c3f71d16f154f64b697e0b798967f26.tif,G-siphonifera
P-obliquiloculata/996bd1cfff3d43a1ac33c7ffe5703dd4.tif,P-obliquiloculata
G-tumida/ea94ccd9de0b4561a3eb55dbd8ee8a05.tif,G-tumida
G-scitula/1911a570227040888f1672273b71d300.tif,G-scitula
G-truncatulinoides/d3693a6d08ca4548b66c9681c2541cd5.tif,G-truncatulinoides
N-humerosa/05dbecb1357f48e29a7931dd14d548fb.tif,N-humerosa
G-truncatulinoides/6895bf931d284f5b84369b2ac794c443.tif,G-truncatulinoides
O-universa/6b38b1cd006e4d3988c456f76be33fd6.tif,O-universa
G-tumida/2a0ec0fdd1c74036b57e48c9a4e75e63.tif,G-tumida
G-crassaformis/1623931d4d4c4f13855a4509e66f0cd5.tif,G-crassaformis
P-obliquiloculata/5712b0c926174f1bb6b36b4c0fb12f67.tif,P-obliquiloculata
G-crassaformis/845c7bf854754c3fbe52e1bc7060cc6b.tif,G-crassaformis
G-crassaformis/504cce8a288248a7bf8cf97046a3b9c8.tif,G-crassaformis
G-sacculifer/fbda32c36a8948c29ea3066cd24f2a76.tif,G-sacculifer
N-dutertrei/297735e8eaf24fb38f215e7079331721.tif,N-dutertrei
G-scitula/52bc164c43a5494fb6bcb411ad4d6443.tif,G-scitula
N-dutertrei/30a83330cc264653ad308c27c2d65faa.tif,N-dutertrei
G-scitula/9f736af1fb6845ee8fa8144f0ccbf96c.tif,G-scitula
G-crassaformis/0a4834cd8215498698fc90fb1dada7c8.tif,G-crassaformis
G-sacculifer/35e23757de71486881ec958377954a09.tif,G-sacculifer
G-truncatulinoides/2505cec1966940278c5e3d5e9c0af80e.tif,G-truncatulinoides
G-scitula/14f74bb9c8824afcb36225d56455acda.tif,G-scitula
P-obliquiloculata/9c439fb9ad8246f78615db0fef85d3bd.tif,P-obliquiloculata
G-siphonifera/ed5a2d0a55cd492688d1bcfab2183304.tif,G-siphonifera
G-tumida/e22a1b7de5424689893a8460f79e39fc.tif,G-tumida
G-siphonifera/22d8b1c2d5b54ffda1fd772bad99a084.tif,G-siphonifera
S-dehiscen/8beea2758c124f0a89e5bc049a9fcd78.tif,S-dehiscen
G-truncatulinoides/ca9e4e9fa8c049c1a3bd76007d179679.tif,G-truncatulinoides
G-tumida/df01c2d5da054cd680ea912d5135ac7d.tif,G-tumida
G-ungulata/89b43eee681d4386b29b4184e66d6164.tif,G-ungulata
S-dehiscen/462c52db4eee4d818b4c61a00e595728.tif,S-dehiscen
G-tumida/06d2268ded84459aab3889366036b26e.tif,G-tumida
G-ruber/1e6c66a7b57b4701a4f2c5c2559c2b54.tif,G-ruber
G-siphonifera/d762000a0b6046babd0a9d7cb9365e3f.tif,G-siphonifera
G-scitula/7af1f5d76981436d9c1bfb695358ba46.tif,G-scitula
N-dutertrei/58b28117dbc742a7ad95e8a23068d916.tif,N-dutertrei
N-humerosa/398ac4fecfa844ab9402c35f337cdcb8.tif,N-humerosa
G-scitula/2ec431040a424394b54386c6c87e2310.tif,G-scitula
G-elongatus/fa056d1c0ae2445d8e654db41e7ba4e4.tif,G-elongatus
S-dehiscen/14e1dc97616440eaaa3a49aeecbe2786.tif,S-dehiscen
G-truncatulinoides/1d262f629ce146a586ce27096214385f.tif,G-truncatulinoides
N-acostaensis/b3dd59b9ae074e29a3ad1e6c58ceee4d.tif,N-acostaensis
G-sacculifer/a05748daf5f54c5793a31bf29a7c5b1a.tif,G-sacculifer
G-truncatulinoides/9a8c71000ca845d99214a446287fdf4a.tif,G-truncatulinoides
G-siphonifera/0576b3cb28ba4149bfa8ec2895be03b9.tif,G-siphonifera
G-ruber/701f47325be54505bbf3a3adfcb4727e.tif,G-ruber
N-humerosa/754ebe2ddbd24d62b314a29b60c0a3a2.tif,N-humerosa
N-humerosa/4b65919a9ca2493b9c3f578afe301b05.tif,N-humerosa
G-tumida/d4083c9f839f4cedb73d5291cd6bedbd.tif,G-tumida
G-truncatulinoides/9a6e8c24a7394a5ba1d3f1eef325728f.tif,G-truncatulinoides
G-ruber/5ab02fa5b2de4076842b893eb37ab058.tif,G-ruber
G-scitula/72d95fabc8324bd3b3a61e5e06f58a37.tif,G-scitula
G-scitula/66c35f9a7bc740618cf1feac47d9f7ee.tif,G-scitula
G-scitula/0c271959380b42c18f38b6c3e28d7bb2.tif,G-scitula
G-truncatulinoides/256c5490fd204bc3bcbb9b03a44e5a2c.tif,G-truncatulinoides
S-dehiscen/4aa767f1ed314ac98eb97e2ebcc76661.tif,S-dehiscen
P-obliquiloculata/38770d5aa6674a229c4d6e203c88e1de.tif,P-obliquiloculata
S-dehiscen/54d716a9e57f4203afba675398fd116a.tif,S-dehiscen
N-acostaensis/c4d077c1218c4ce0a69ca0f8853a6eca.tif,N-acostaensis
N-humerosa/e3d9f4f5467d42c4921efa08f620b263.tif,N-humerosa
S-dehiscen/e54a4553abfc471d97d7dc4ce1bffe40.tif,S-dehiscen
N-acostaensis/a2ab51b1be924660a02abbbc3899b753.tif,N-acostaensis
G-sacculifer/f646bd935efc4d20b61dda9005e189a8.tif,G-sacculifer
P-obliquiloculata/475ace6cb3cc4afda5250a3fa7541040.tif,P-obliquiloculata
G-tumida/d8c7d54dda0445d5943445401b20d3cc.tif,G-tumida
G-ungulata/4e87727d98ab4801a119d9cb6cde8425.tif,G-ungulata
N-humerosa/824811040d1a47dba38477ac48393f3f.tif,N-humerosa
G-truncatulinoides/94c6c276080d46b69d0749af001a8c24.tif,G-truncatulinoides
G-crassaformis/1240d4912f3c4de28a4bd31406c3f51f.tif,G-crassaformis
N-dutertrei/fe9a3832c4d642ec81b39d0aee910d7d.tif,N-dutertrei
N-acostaensis/ea3d032a1d8d4ca7aa2b5af02d71029b.tif,N-acostaensis
G-elongatus/7122d12dfe1a494791ac71dfbe4e4407.tif,G-elongatus
G-ruber/c8835297381648c287c6f3d61762d5bd.tif,G-ruber
G-siphonifera/19404f8a1c2b4d25aedf1f63bb764ee1.tif,G-siphonifera
G-crassaformis/af8f7ade3f4d44158f089c8a4599313b.tif,G-crassaformis
G-elongatus/9787f2381dce4018b1a1775d163e8430.tif,G-elongatus
G-ungulata/885705dd9f364c30843b3161456201d4.tif,G-ungulata
P-obliquiloculata/10cd8d72f8374c45bb45664fd8d9e38e.tif,P-obliquiloculata
N-dutertrei/1acf5c0071124278a8951204fec6fa95.tif,N-dutertrei
G-siphonifera/a6583558b9e14cb4853d90d8708c0a74.tif,G-siphonifera
G-elongatus/3add93c063d9474f8a9c9ddeb7b5beca.tif,G-elongatus
G-scitula/8189509f5b8a4c0eb1d5c5ca9abadb4a.tif,G-scitula
N-humerosa/5e8b014288c248468cb2b39af4defba8.tif,N-humerosa
G-truncatulinoides/bd739f167f3e4a1eaf4aec2662b80c4a.tif,G-truncatulinoides
G-sacculifer/0ff0a20c673246b6ac1f65e5c73b50ae.tif,G-sacculifer
G-ruber/4626e6bf26fe492992a7f77dbcf14420.tif,G-ruber
G-elongatus/243aadbf698e4374a3486d56929a6deb.tif,G-elongatus
G-crassaformis/6919293bb8a94882aa7e203fa4757f2f.tif,G-crassaformis
G-siphonifera/aa1baccf3db4459aa00bf896afa013f1.tif,G-siphonifera
G-ungulata/94baf187516945eebb961d2faf035c47.tif,G-ungulata
G-tumida/a99a84c9bd6c4c0b99ec6f15fc2b0843.tif,G-tumida
G-elongatus/17e478895a0c4f919e5243cdef172dde.tif,G-elongatus
G-truncatulinoides/fa5d0ef19ecf4f439bb86a1324fd99fc.tif,G-truncatulinoides
N-humerosa/de97533155a54563bfaad3570ca94f29.tif,N-humerosa
G-siphonifera/9ea27dcfb22846478e1969d34d703909.tif,G-siphonifera
G-ruber/2e1a67967bcf4b30a4c08648ae3667d8.tif,G-ruber
G-sacculifer/0db679f905374029a099c56b56ae56d2.tif,G-sacculifer
G-siphonifera/c6cd441558144c35ad811cd5f5c6a72f.tif,G-siphonifera
G-sacculifer/e06dd59004e94353afcfc94cdec24bb0.tif,G-sacculifer
G-ruber/2243ac0ffa3a4231988b9044e739f179.tif,G-ruber
G-sacculifer/47d77485926f41cdb470ad6ee0ddf028.tif,G-sacculifer
S-dehiscen/531d3fa21d0c4629b9497a0087218119.tif,S-dehiscen
G-ruber/7930ee0dbccb4e13b1c225d1a8e16ffc.tif,G-ruber
O-universa/b70a4f807b4344848bd4828abd1017cb.tif,O-universa
G-ungulata/de4b20f863a34bf89d42bd8fec506477.tif,G-ungulata
S-dehiscen/9e6ae35c81004a9684c4914540f6169d.tif,S-dehiscen
N-acostaensis/c0ef86fe4eee46dab681339e7420d03d.tif,N-acostaensis
G-siphonifera/1d0994ff403148349d8033ef4d7daec4.tif,G-siphonifera
G-sacculifer/19c36c17bb12468486b729f0d5db05e8.tif,G-sacculifer
N-humerosa/e055530cf86f49099cbaaf8b9547501c.tif,N-humerosa
G-scitula/2cc08496972a4af48102339ab38f7ce2.tif,G-scitula
G-crassaformis/688d57e7e1054746bb0e792a335c0e29.tif,G-crassaformis
N-humerosa/01aaeeac57074d1e9664795e09a207a1.tif,N-humerosa
G-ruber/c505ff87a77c4de296c89edd4a2ef61f.tif,G-ruber
N-acostaensis/ba2827d0017b4b4586a8850fa0da38b5.tif,N-acostaensis
G-scitula/485df9550bcd4d539bc8d6b36735c2a0.tif,G-scitula
P-obliquiloculata/0bbe28f8954a46249a67e597f2dcb20d.tif,P-obliquiloculata
O-universa/2b58351e41d64f5aa7773df40e2e3eaa.tif,O-universa
S-dehiscen/68a77f87a0974e248dd68e26b3f994ed.tif,S-dehiscen
G-siphonifera/b0cf94ff59e944598abcbc0a53a501c5.tif,G-siphonifera
G-ruber/24ccd946db0d45d6975e8a6fb34c0fcb.tif,G-ruber
S-dehiscen/f2bbb6525d06440f9f6bda73a409002f.tif,S-dehiscen
G-crassaformis/3c983945a51d44a0b37fb099d3c33067.tif,G-crassaformis
S-dehiscen/ebbd29644af84b9a82809aa25354bbe7.tif,S-dehiscen
G-scitula/b5374c9f05b5459499685a2ee2004660.tif,G-scitula
G-scitula/dfb63d514b4c4177bea60292e0033bdb.tif,G-scitula
G-ruber/b226da44a8a742968cb57e5a5597e444.tif,G-ruber
G-ruber/92fb9c6ce36241209f499f9f4fb95f84.tif,G-ruber
G-crassaformis/c8658219bb7e49249026a502470a061c.tif,G-crassaformis
G-siphonifera/08e033f994c1413ab2e35880080ed1d9.tif,G-siphonifera
G-ungulata/f8e33a1a096140dc9b4a26d744a3aaa5.tif,G-ungulata
G-sacculifer/2f6e93f78ab2493a953aa15761dd6436.tif,G-sacculifer
G-siphonifera/bfd4d396e806442398953f8856b85de3.tif,G-siphonifera
G-ungulata/27c1606108d54741add57235857c2317.tif,G-ungulata
G-tumida/57409eb8ce1349a0a48b482db223d6a7.tif,G-tumida
G-ruber/59bb5695f0e7456d9d15211773df6c98.tif,G-ruber
G-ruber/36870fa3fba14c5e8d6830b6d84f5d7f.tif,G-ruber
G-ruber/88a6e74845b44d65807117321992f3f1.tif,G-ruber
G-scitula/b22a53f220eb4df99fce1e5a43d93c61.tif,G-scitula
G-tumida/81ce4335a72f4c09b0cd043998013f35.tif,G-tumida
G-siphonifera/e3c71a6253084a798342b3cdfead30be.tif,G-siphonifera
G-sacculifer/071a0340782a4b94aee464be97874589.tif,G-sacculifer
G-siphonifera/03b62e0075ca4572832cba9d36096d8e.tif,G-siphonifera
G-truncatulinoides/7d006be81abc4d71b623e3d7f548291b.tif,G-truncatulinoides
G-sacculifer/0f5435bec0de4fa2bb1a1194f983f3f9.tif,G-sacculifer
S-dehiscen/ed56f25bd34c4540a91f21df2e47c366.tif,S-dehiscen
G-sacculifer/9f21f019c4c94d3684f6a83fee48e16c.tif,G-sacculifer
P-obliquiloculata/21cf24931d9544849c24dda32d31ca28.tif,P-obliquiloculata
G-scitula/3172a8f2cee8433f91e75e9f6a4d38dc.tif,G-scitula
